procs,N,execution_time,num_of_unique
40, 428, 0.055419, 47675
40, 429, 0.075547, 47837
40, 430, 0.060119, 47991
40, 431, 0.059485, 48422
40, 432, 0.061684, 48528
40, 433, 0.054614, 48961
40, 434, 0.054996, 49116
40, 435, 0.056771, 49281
40, 436, 0.057614, 49464
40, 437, 0.055741, 49735
40, 438, 0.056630, 49898
40, 439, 0.056445, 50337
40, 440, 0.052534, 50462
40, 441, 0.055103, 50614
40, 442, 0.056058, 50773
40, 443, 0.060039, 51216
40, 444, 0.056420, 51353
40, 445, 0.052214, 51586
40, 446, 0.057175, 51810
40, 447, 0.055633, 52035
40, 448, 0.052649, 52168
40, 449, 0.061124, 52617
40, 450, 0.057616, 52730
40, 451, 0.057728, 52984
40, 452, 0.053849, 53174
40, 453, 0.054331, 53402
40, 454, 0.052696, 53630
40, 455, 0.057974, 53811
40, 456, 0.055849, 53929
40, 457, 0.057034, 54386
40, 458, 0.056358, 54616
40, 459, 0.055962, 54789
40, 460, 0.055617, 54934
40, 461, 0.055958, 55395
40, 462, 0.056899, 55522
40, 463, 0.056699, 55985
40, 464, 0.057580, 56143
40, 465, 0.055146, 56317
40, 466, 0.055200, 56551
40, 467, 0.054931, 57018
40, 468, 0.055238, 57138
40, 469, 0.055797, 57391
40, 470, 0.055499, 57561
40, 471, 0.054148, 57798
40, 472, 0.056631, 57971
40, 473, 0.051691, 58233
40, 474, 0.054581, 58409
40, 475, 0.052640, 58618
40, 476, 0.056015, 58766
40, 477, 0.056865, 58967
40, 478, 0.051888, 59207
40, 479, 0.058180, 59686
40, 480, 0.057027, 59794
40, 481, 0.056317, 60073
40, 482, 0.056547, 60315
40, 483, 0.054870, 60500
40, 484, 0.058290, 60667
40, 485, 0.052634, 60920
40, 486, 0.054825, 61070
40, 487, 0.060154, 61557
40, 488, 0.056464, 61736
40, 489, 0.079248, 61982
40, 490, 0.065617, 62127
40, 491, 0.053358, 62618
40, 492, 0.059176, 62768
40, 493, 0.062741, 63065
40, 494, 0.078320, 63240
40, 495, 0.059708, 63396
40, 496, 0.060749, 63565
40, 497, 0.052061, 63832
40, 498, 0.055448, 64017
40, 499, 0.051001, 64516
40, 500, 0.055941, 64673
40, 501, 0.055134, 64925
40, 502, 0.053705, 65177
40, 503, 0.054984, 65680
40, 504, 0.052251, 65793
40, 505, 0.052124, 66057
40, 506, 0.060603, 66246
40, 507, 0.051891, 66457
40, 508, 0.057236, 66670
40, 509, 0.056888, 67179
40, 510, 0.052526, 67317
40, 511, 0.057099, 67591
40, 512, 0.056488, 67765
